難易度,曲名,理論値,全国TOP,月岡恋鐘さんのスコア,全国平均,BPI
sl3,deep blue sunrise (pw-Another+),4774,4733,0,3753.56,不明
sl3,Merry Christmas Mr.AK-RED,4722,4652,0,3969.5,不明
sl3,Forceful Beat [B],3232,3122,2769,2237.55,20.46
sl4,electric butterfly -twilight-,4880,4681,0,3978.88,不明
sl4,G e n g a o z o -Screen music- -EX-,5124,4871,0,4083.01,不明
sl4,Barely Barely,3974,3748,0,3135.07,不明
sl4,Transfixation [Re:ANOTHER],4286,4146,0,3461.88,不明
sl4,Destr0yer -Hope-,4040,3879,0,3300.94,不明
sl4,Kanon's Fantasia -Flower Forest- [ver.翠],3044,3011,0,2652.8,不明
sl4,Pusha Plucka!! -SWAGGER-,3746,3706,0,3122.9,不明
sl4,Astar [ANOTHER+],3234,3186,0,2836.45,不明
sl4,Holy Wind [ULTIMATE],4258,4190,0,3410.37,不明
sl4,White Phoenix -白き翼-,4896,4852,0,4167.18,不明
sl4,Disco Balls -Luna-,3320,3279,0,2827.66,不明
sl4,＊CinnamoN＊,4122,4013,0,3220.05,不明
sl4,deg w∧v chu doc [W],4536,4473,0,3750.41,不明
sl4,Mr. BLACKRUM [SP RUNOTHER -Cuba Libre-],3700,3672,0,3061.56,不明
sl4,☆ twinkleskytower ☆ [MANIAC],4340,4305,0,3476.96,不明
sl4,Life is PIANO [Rea'ju],4208,4155,3830,3433.12,13.84
sl4,Now in the Castle Age [Tower Rush],4594,4570,0,3820.39,不明
sl4,温泉大作戦 [ZOI],4066,4010,0,3418.17,不明
sl4,Blazing Blizzard -Frostbite-,3624,3557,0,3009.01,不明
sl4,Amethyst Moon -Pure White Crystal-,4988,4939,0,4107.62,不明
sl4,ひつぎとふたご [7KEY/A2],4004,3826,3294,3090.44,6.05
sl4,ハニエルのうた [ZOI],3536,3460,3138,2930.48,9.09
sl4,VENUS INVADER [for A.],4542,4317,0,3633.89,不明
sl4,Ruined field -ZERO-,4570,4496,0,3863.08,不明
sl4,PLUS+INFINITY [ZOI],3714,3671,0,3074.15,不明
sl4,黒い絵 (MAS-B),3866,3781,0,3231.15,不明
sl4,Is This Your Memory? [ZOI],4198,4189,0,3711.83,不明
sl4,Berry Go!! [sweet],3852,3838,3719,3225.23,26.04
sl4,Implexrough [ZOI],4266,4245,0,3619.22,不明
sl4,Plumage,4304,4237,0,3504.68,不明
sl4,Drop Down [SP Insane],4160,4133,0,3355.88,不明
sl4,Arioso Killer [Bloody],7562,3795,0,2813.64,不明
sl4,Ultimate Weapon [ZOI],4236,4195,3978,3607.83,18.62
sl4,carnation [ZOI],4036,4017,0,3485.03,不明
sl4,バンバード 〜Piano Version〜 [sunny],5274,5128,0,4324.48,不明
sl4,Dystopia High [ZOI],4204,4184,0,3632.46,不明
sl4,Spiritoso Killer [SP INSANE],3820,3722,0,3165.99,不明
sl4,人里に下ったアタイがいつの間にか社畜になっていた件 [HARD],4396,4328,3937,3647.37,9.21
sl4,oo i s oo - Perfection - [IDENTITY],4462,4213,0,3630.86,不明
sl4,Noblesse Gloria [Churchill Mk-VII],4310,4280,0,3813.68,不明
sl4,RAY -diffuse-,3232,3161,0,2668.43,不明
sl4,Cosmo Memory [sLunatic],3890,3872,0,3338.17,不明
sl4,Grape Garden [Hi-Jump],2910,2910,0,2597.12,不明
sl4,ゆらめきつまさき -honey coming girl-,4200,4144,0,3411.58,不明
sl4,Maxi [Ephedrine],3806,3736,0,3144.37,不明
sl4,End Point [ZOI],3952,3921,0,3274.64,不明
sl4,ATHAZA [ANOTHER],5000,4878,4319,3542.09,17.0
sl4,magia [Insane],3626,3612,0,3003.29,不明
sl4,Hecatoncheir,4600,4579,0,3902.45,不明
sl4,ファンファーレ [INSANE],3944,3878,0,3217.88,不明
sl4,u gotta party [Viva La Vida!],4096,4025,0,3420.79,不明
sl4,EVERLASTING HAPPiNESS↑ [ZOI],4460,4353,0,3614.47,不明
sl4,雪月風花 〜Silver Moon [SP Another],4300,4278,0,3663.07,不明
sl4,suffruti [ZOI],4660,4618,4234,3905.0,8.82
sl4,Reason of being [ZOI],3326,3243,2952,2725.39,11.71
sl4,Wavetapper [Normality.],4364,4330,0,3689.46,不明
sl4,Altale [the story],3678,3537,0,2994.49,不明
sl4,Turndup [Refrain],4354,4279,0,3600.32,不明
sl4,MANHATTAN [SP BLACK ANOTHER],4430,4356,0,3555.47,不明
sl4,ハードルネッサンバ [sagANOTHER],4000,3891,0,3352.37,不明
sl4,Busy Factory [Append],4108,3974,0,3223.64,不明
sl4,Floating Garden [Hortulani],3556,3513,0,2951.19,不明
sl4,sweet pop [7key EX],4200,4155,0,3580.51,不明
sl4,Romantic Children [SP ANOTHER2],4444,4421,0,3670.62,不明
sl4,図書室のエルザ [HARDEST],3942,3925,3626,3382.69,6.61
sl4,tinnitus -7 another-,5992,5941,0,4799.81,不明
sl4,ホーリーサンバランド [White Another],4848,4793,4392,3609.86,18.17
sl4,BAD NEWS  [Another],3610,3586,0,2817.61,不明
sl4,Soul of Deep-sea Fish [queER7],3832,3734,0,3219.39,不明
sl4,EOS [女神],4672,4660,4509,3955.75,21.78
sl4,FULL COMBO Pt.2 [FULL COMBO],3548,3508,0,2782.18,不明
sl4,夜明けの少女たち [Delay],3000,2978,2822,2535.43,17.64
sl4,愛と煩悩と輪廻と常識の極彩世界 [SP ANOTHER],4226,4137,3620,3082.8,12.4
sl4,幸なる旋律 -the solitary melody- [F],4150,4079,3417,3338.9,0.85
sl4,Apollo [Monsther],3982,3932,0,3329.56,不明
sl4,Infinite Galaxy [SP AMETHER],4328,4291,0,3680.31,不明
sl4,HAELEQUIN [EX],4518,4456,3759,3680.1,0.74
sl4,Astraia [Another],4904,4837,4608,3955.04,29.14
sl4,TEN [Ryether],5086,4993,0,4137.65,不明
